INDEX
ENC_l_m: ENC obtained with pedestal rms and linear gain fit with mean values
ENC_l_mwo: ENC obtained with pedestal rms and linear gain fit with mean values without outliers
ENC_3_m: ENC obtained with pedestal rms and cubic gain fit with mean values
ENC_3_mwo: ENC obtained with pedestal rms and cubic gain fit with mean values without outliers
-----------------------------------------------------------------
ch	pt	ENC_l_m	ENC_l_mwo	ENC_3_m	ENC_3_mwo
 0	 0	3.037	3.001	2.569	2.534
 0	 1	2.947	2.899	2.610	2.570
 0	 2	2.937	2.868	2.663	2.604
 0	 3	2.670	2.612	2.445	2.392
 0	 4	2.917	2.900	2.681	2.665
 0	 5	2.880	2.866	2.704	2.705
 0	 6	2.802	2.770	2.670	2.643
 0	 7	2.903	2.833	2.801	2.739
 1	 0	3.113	2.994	2.551	2.457
 1	 1	2.913	2.891	2.509	2.496
 1	 2	2.968	2.789	2.539	2.383
 1	 3	2.802	2.719	2.411	2.341
 1	 4	2.791	2.709	2.453	2.381
 1	 5	2.907	2.785	2.536	2.429
 1	 6	3.015	2.915	2.631	2.528
 1	 7	3.163	3.133	2.801	2.776
 2	 0	2.816	2.764	2.320	2.277
 2	 1	2.689	2.566	2.320	2.209
 2	 2	2.617	2.479	2.233	2.117
 2	 3	2.624	2.496	2.281	2.168
 2	 4	2.555	2.367	2.201	2.040
 2	 5	2.683	2.595	2.391	2.321
 2	 6	2.715	2.534	2.341	2.189
 2	 7	2.748	2.686	2.420	2.364
 3	 0	3.365	3.372	2.678	2.668
 3	 1	3.263	3.263	2.737	2.734
 3	 2	3.083	3.046	2.629	2.591
 3	 3	3.114	3.043	2.685	2.622
 3	 4	3.136	3.132	2.746	2.745
 3	 5	3.116	3.109	2.733	2.733
 3	 6	3.250	3.228	2.875	2.847
 3	 7	3.346	3.276	2.988	2.919
 4	 0	3.353	3.379	2.716	2.713
 4	 1	3.034	2.982	2.546	2.497
 4	 2	2.888	2.843	2.470	2.438
 4	 3	2.926	2.804	2.495	2.392
 4	 4	3.069	2.966	2.588	2.502
 4	 5	3.241	3.214	2.789	2.765
 4	 6	3.174	3.095	2.734	2.668
 4	 7	3.295	3.197	2.859	2.782
 5	 0	2.679	2.606	2.194	2.146
 5	 1	2.510	2.466	2.162	2.130
 5	 2	2.475	2.393	2.132	2.063
 5	 3	2.524	2.524	2.210	2.212
 5	 4	2.420	2.359	2.132	2.072
 5	 5	2.596	2.547	2.267	2.220
 5	 6	2.557	2.493	2.296	2.240
 5	 7	2.751	2.665	2.458	2.382
 6	 0	3.415	3.278	2.696	2.580
 6	 1	3.272	3.177	2.733	2.666
 6	 2	2.949	2.869	2.556	2.482
 6	 3	2.995	2.903	2.612	2.530
 6	 4	2.929	2.804	2.616	2.499
 6	 5	2.952	2.897	2.602	2.560
 6	 6	2.947	2.881	2.651	2.587
 6	 7	3.016	2.803	2.703	2.531
 7	 0	3.033	2.959	2.374	2.304
 7	 1	2.945	2.849	2.446	2.376
 7	 2	2.773	2.666	2.343	2.265
 7	 3	2.919	2.897	2.474	2.459
 7	 4	2.793	2.783	2.387	2.376
 7	 5	2.779	2.759	2.401	2.381
 7	 6	2.841	2.815	2.494	2.477
 7	 7	2.936	2.920	2.627	2.614
 8	 0	3.844	3.555	3.161	2.927
 8	 1	3.469	3.399	3.011	2.940
 8	 2	3.206	3.094	2.778	2.669
 8	 3	3.426	3.412	2.928	2.929
 8	 4	3.488	3.460	3.040	3.009
 8	 5	3.626	3.583	3.165	3.136
 8	 6	3.703	3.663	3.268	3.222
 8	 7	3.880	3.842	3.377	3.316
 9	 0	3.408	3.268	2.765	2.662
 9	 1	3.211	3.045	2.738	2.595
 9	 2	3.033	2.951	2.643	2.570
 9	 3	3.180	3.044	2.750	2.617
 9	 4	3.228	3.133	2.872	2.790
 9	 5	3.272	3.180	2.904	2.826
 9	 6	3.501	3.447	3.154	3.101
 9	 7	3.721	3.517	3.366	3.181
10	 0	3.328	3.330	2.736	2.728
10	 1	3.308	3.318	2.832	2.835
10	 2	3.306	3.324	2.851	2.853
10	 3	3.242	3.237	2.790	2.792
10	 4	3.419	3.405	3.021	3.004
10	 5	3.499	3.493	3.073	3.051
10	 6	3.797	3.806	3.321	3.322
10	 7	4.082	4.064	3.613	3.581
11	 0	3.225	3.213	2.567	2.550
11	 1	3.050	3.031	2.546	2.530
11	 2	2.929	2.896	2.470	2.441
11	 3	3.013	3.016	2.549	2.551
11	 4	3.270	3.221	2.773	2.765
11	 5	3.166	3.174	2.730	2.734
11	 6	3.512	3.472	3.088	3.050
11	 7	3.463	3.423	3.024	3.007
12	 0	3.703	3.698	2.990	2.987
12	 1	3.192	3.160	2.670	2.640
12	 2	3.175	3.137	2.642	2.614
12	 3	3.285	3.231	2.711	2.673
12	 4	3.405	3.308	2.842	2.748
12	 5	3.513	3.519	2.920	2.919
12	 6	3.700	3.596	3.093	3.002
12	 7	3.885	3.821	3.288	3.262
13	 0	3.387	3.352	2.686	2.661
13	 1	3.152	3.086	2.658	2.601
13	 2	3.125	3.039	2.663	2.587
13	 3	3.035	2.954	2.622	2.555
13	 4	3.411	3.338	2.961	2.889
13	 5	3.609	3.508	3.062	2.978
13	 6	3.673	3.549	3.176	3.054
13	 7	4.018	3.929	3.515	3.428
14	 0	2.954	2.920	2.406	2.373
14	 1	2.904	2.914	2.457	2.462
14	 2	2.918	2.918	2.511	2.511
14	 3	3.063	3.035	2.652	2.618
14	 4	3.458	3.456	2.978	2.981
14	 5	3.394	3.362	2.958	2.913
14	 6	3.712	3.673	3.295	3.251
14	 7	4.016	3.942	3.593	3.566
15	 0	3.291	3.273	2.652	2.647
15	 1	3.024	2.979	2.652	2.618
15	 2	3.223	3.228	2.852	2.850
15	 3	3.404	3.390	2.983	2.981
15	 4	3.570	3.499	3.173	3.141
15	 5	3.832	3.813	3.358	3.309
15	 6	4.028	4.042	3.467	3.478
15	 7	4.203	4.208	3.743	3.751
16	 0	3.265	3.186	2.667	2.601
16	 1	3.036	2.900	2.586	2.479
16	 2	2.953	2.885	2.537	2.465
16	 3	2.928	2.862	2.534	2.475
16	 4	2.923	2.864	2.564	2.516
16	 5	3.018	2.969	2.649	2.608
16	 6	3.119	3.057	2.710	2.642
