ch	pt	m	q
 0	 0	0.2243	114.3463
 0	 1	0.1981	118.0157
 0	 2	0.2662	108.4333
 0	 3	0.2301	113.5002
 0	 4	0.3088	102.5836
 0	 5	0.3207	100.8939
 0	 6	0.2842	106.0361
 0	 7	0.2599	109.4366
 1	 0	0.1838	118.2536
 1	 1	0.1849	118.0891
 1	 2	0.1853	117.9998
 1	 3	0.1903	117.2990
 1	 4	0.2327	111.0273
 1	 5	0.2234	112.4903
 1	 6	0.2391	110.0912
 1	 7	0.1970	116.4393
 2	 0	0.1800	119.0890
 2	 1	0.1917	117.3789
 2	 2	0.2072	115.0654
 2	 3	0.2154	113.8804
 2	 4	0.2356	111.0218
 2	 5	0.2562	108.0207
 2	 6	0.2505	108.7977
 2	 7	0.2028	115.9308
 3	 0	0.1754	121.1240
 3	 1	0.1899	119.0835
 3	 2	0.1991	117.7700
 3	 3	0.1919	118.8221
 3	 4	0.2419	111.8662
 3	 5	0.2077	116.7565
 3	 6	0.2248	114.3298
 3	 7	0.1989	117.9990
 4	 0	0.2613	109.9843
 4	 1	0.2145	116.4372
 4	 2	0.2203	115.5676
 4	 3	0.2278	114.6377
 4	 4	0.2526	111.3478
 4	 5	0.2409	113.0003
 4	 6	0.2690	109.1031
 4	 7	0.2625	109.9786
 5	 0	0.2439	118.0636
 5	 1	0.2131	121.5439
 5	 2	0.2180	120.9839
 5	 3	0.2319	119.4381
 5	 4	0.2615	116.1649
 5	 5	0.2513	117.4258
 5	 6	0.2548	116.9531
 5	 7	0.2426	118.3778
 6	 0	0.2401	105.4784
 6	 1	0.1957	112.9667
 6	 2	0.2123	110.1346
 6	 3	0.2253	108.0142
 6	 4	0.2656	101.3264
 6	 5	0.2436	105.1305
 6	 6	0.2573	102.7695
 6	 7	0.2291	107.5284
 7	 0	0.2427	104.5255
 7	 1	0.2196	108.5086
 7	 2	0.2236	107.8002
 7	 3	0.2457	104.0735
 7	 4	0.2681	100.3656
 7	 5	0.2534	102.9046
 7	 6	0.2571	102.2724
 7	 7	0.2432	104.6132
 8	 0	0.2397	118.7021
 8	 1	0.2150	121.5134
 8	 2	0.2446	118.1028
 8	 3	0.2253	120.3587
 8	 4	0.2650	115.8599
 8	 5	0.2773	114.5434
 8	 6	0.2709	115.2381
 8	 7	0.2568	116.8224
 9	 0	0.2302	110.7109
 9	 1	0.2013	115.1270
 9	 2	0.2150	112.9978
 9	 3	0.2399	109.2427
 9	 4	0.2621	105.9512
 9	 5	0.2444	108.6593
 9	 6	0.2412	109.1552
 9	 7	0.2350	110.1099
10	 0	0.2190	121.4163
10	 1	0.2107	122.3407
10	 2	0.2232	120.8978
