# ASIC configuration for the measurements:
# ------------------------------------------------------------------------------
# Mode = 001 
# Bias = 0101 
# CSArefs = 0011 
# Shaper = 100 
# Leakage mask = 00000000000000000000000000000000 
# Discr. enable mask = 00000000000000000000000000000000 
# Calibration mask = 11111111111111111111111111111111 
# Threshold = 128 
# FineTHR[0] = 011 
# FineTHR[1] = 011 
# FineTHR[2] = 011 
# FineTHR[3] = 011 
# FineTHR[4] = 011 
# FineTHR[5] = 011 
# FineTHR[6] = 011 
# FineTHR[7] = 011 
# FineTHR[8] = 011 
# FineTHR[9] = 011 
# FineTHR[10] = 011 
# FineTHR[11] = 011 
# FineTHR[12] = 011 
# FineTHR[13] = 011 
# FineTHR[14] = 011 
# FineTHR[15] = 011 
# FineTHR[16] = 011 
# FineTHR[17] = 011 
# FineTHR[18] = 011 
# FineTHR[19] = 011 
# FineTHR[20] = 011 
# FineTHR[21] = 011 
# FineTHR[22] = 011 
# FineTHR[23] = 011 
# FineTHR[24] = 011 
# FineTHR[25] = 011 
# FineTHR[26] = 011 
# FineTHR[27] = 011 
# FineTHR[28] = 011 
# FineTHR[29] = 011 
# FineTHR[30] = 011 
# FineTHR[31] = 011 
# ------------------------------------------------------------------------------
# Event data block #1
# Delay	DAC	Type	CH#	Value
47	10	00	0	186
47	10	00	1	202
47	10	00	2	205
47	10	00	3	200
47	10	00	4	194
47	10	00	5	171
47	10	00	6	224
47	10	00	7	226
47	10	00	8	168
47	10	00	9	211
47	10	00	10	165
47	10	00	11	196
47	10	00	12	197
47	10	00	13	199
47	10	00	14	180
47	10	00	15	203
47	10	00	16	195
47	10	00	17	217
47	10	00	18	185
47	10	00	19	213
47	10	00	20	219
47	10	00	21	211
47	10	00	22	246
47	10	00	23	187
47	10	00	24	185
47	10	00	25	215
47	10	00	26	202
47	10	00	27	188
47	10	00	28	191
47	10	00	29	228
47	10	00	30	214
47	10	10	31	226
47	10	00	0	184
47	10	00	1	206
47	10	00	2	207
47	10	00	3	198
47	10	00	4	196
47	10	00	5	172
47	10	00	6	230
47	10	00	7	230
47	10	00	8	167
47	10	00	9	211
47	10	00	10	160
47	10	00	11	191
47	10	00	12	194
47	10	00	13	196
47	10	00	14	175
47	10	00	15	200
47	10	00	16	196
47	10	00	17	213
47	10	00	18	185
47	10	00	19	215
47	10	00	20	222
47	10	00	21	211
47	10	00	22	250
47	10	00	23	183
47	10	00	24	185
47	10	00	25	216
47	10	00	26	202
47	10	00	27	185
47	10	00	28	193
47	10	00	29	230
47	10	00	30	213
47	10	10	31	230
47	10	00	0	184
47	10	00	1	204
47	10	00	2	204
47	10	00	3	199
47	10	00	4	194
47	10	00	5	169
47	10	00	6	224
47	10	00	7	224
