INDEX
ENC_l_m: ENC obtained with pedestal rms and linear gain fit with mean values
ENC_l_mwo: ENC obtained with pedestal rms and linear gain fit with mean values without outliers
ENC_3_m: ENC obtained with pedestal rms and cubic gain fit with mean values
ENC_3_mwo: ENC obtained with pedestal rms and cubic gain fit with mean values without outliers
-----------------------------------------------------------------
ch	pt	ENC_l_m	ENC_l_mwo	ENC_3_m	ENC_3_mwo
 0	 0	2.675	2.676	2.329	2.333
 0	 1	2.359	2.336	2.164	2.144
 0	 2	2.325	2.325	2.158	2.159
 0	 3	2.292	2.296	2.111	2.112
 0	 4	2.278	2.260	2.129	2.109
 0	 5	2.353	2.353	2.242	2.242
 0	 6	2.547	2.549	2.406	2.408
 0	 7	2.498	2.498	2.410	2.409
 1	 0	3.064	3.046	2.522	2.514
 1	 1	3.005	3.000	2.544	2.534
 1	 2	2.933	2.916	2.494	2.483
 1	 3	2.925	2.915	2.486	2.489
 1	 4	2.929	2.918	2.501	2.502
 1	 5	2.859	2.859	2.472	2.471
 1	 6	3.064	3.064	2.694	2.693
 1	 7	3.112	3.112	2.707	2.707
 2	 0	3.010	2.917	2.509	2.426
 2	 1	2.925	2.891	2.529	2.502
 2	 2	2.875	2.832	2.484	2.449
 2	 3	2.865	2.861	2.505	2.505
 2	 4	2.979	2.979	2.561	2.556
 2	 5	3.028	3.028	2.687	2.686
 2	 6	2.982	2.982	2.674	2.674
 2	 7	3.139	3.126	2.837	2.824
 3	 0	3.122	3.126	2.612	2.623
 3	 1	2.992	2.890	2.660	2.574
 3	 2	3.059	2.996	2.671	2.606
 3	 3	2.956	2.919	2.636	2.606
 3	 4	3.050	2.984	2.748	2.693
 3	 5	3.158	3.076	2.841	2.770
 3	 6	3.159	3.142	2.890	2.881
 3	 7	3.222	3.190	2.913	2.892
 4	 0	3.123	2.807	2.567	2.308
 4	 1	2.950	2.816	2.593	2.473
 4	 2	2.888	2.827	2.539	2.486
 4	 3	2.936	2.907	2.655	2.617
 4	 4	2.820	2.764	2.571	2.532
 4	 5	2.841	2.832	2.586	2.574
 4	 6	2.832	2.832	2.662	2.658
 4	 7	3.080	3.045	2.794	2.756
 5	 0	3.813	3.426	3.051	2.738
 5	 1	3.458	3.328	2.924	2.821
 5	 2	3.317	3.254	2.760	2.716
 5	 3	2.954	2.938	2.504	2.491
 5	 4	3.080	3.080	2.619	2.617
 5	 5	3.070	3.014	2.643	2.596
 5	 6	2.913	2.913	2.522	2.524
 5	 7	3.047	2.972	2.606	2.543
 6	 0	3.280	2.957	2.657	2.400
 6	 1	2.963	2.882	2.547	2.476
 6	 2	2.774	2.691	2.406	2.342
