ch	pt	fine_thr	a_fit	b_fit
 0	 0	 0	225.125	0.406
 0	 0	 1	224.052	0.394
 0	 0	 2	223.011	0.370
 0	 0	 3	221.971	0.376
 0	 0	 4	221.004	0.377
 0	 0	 5	219.923	0.400
 0	 0	 6	218.990	0.398
 0	 0	 7	217.903	0.427
 0	 1	 0	225.118	0.350
 0	 1	 1	224.031	0.283
 0	 1	 2	223.004	0.357
 0	 1	 3	221.957	0.334
 0	 1	 4	220.977	0.333
 0	 1	 5	219.867	0.303
 0	 1	 6	218.895	0.336
 0	 1	 7	217.896	0.337
 0	 2	 0	225.101	0.256
 0	 2	 1	223.978	0.302
 0	 2	 2	223.023	0.308
 0	 2	 3	221.915	0.275
 0	 2	 4	220.970	0.310
 0	 2	 5	219.844	0.295
 0	 2	 6	218.914	0.259
 0	 2	 7	217.811	0.389
 0	 3	 0	225.125	0.250
 0	 3	 1	223.994	0.369
 0	 3	 2	223.000	0.357
 0	 3	 3	221.883	0.329
 0	 3	 4	220.926	0.334
 0	 3	 5	219.809	0.296
 0	 3	 6	218.868	0.255
 0	 3	 7	217.734	0.320
 0	 4	 0	225.181	0.285
 0	 4	 1	223.978	0.383
 0	 4	 2	222.966	0.375
 0	 4	 3	221.893	0.289
 0	 4	 4	220.879	0.299
 0	 4	 5	219.766	0.252
 0	 4	 6	218.866	0.275
 0	 4	 7	217.787	0.334
 0	 5	 0	225.115	0.404
 0	 5	 1	223.994	0.405
 0	 5	 2	222.969	0.407
 0	 5	 3	221.795	0.260
 0	 5	 4	220.915	0.399
 0	 5	 5	219.810	0.229
 0	 5	 6	218.846	0.286
 0	 5	 7	217.790	0.289
 0	 6	 0	225.178	0.422
 0	 6	 1	224.037	0.473
 0	 6	 2	222.948	0.415
 0	 6	 3	221.809	0.300
 0	 6	 4	220.844	0.262
 0	 6	 5	219.777	0.218
 0	 6	 6	218.832	0.294
 0	 6	 7	217.832	0.349
 0	 7	 0	225.183	0.419
 0	 7	 1	224.008	0.500
 0	 7	 2	222.962	0.452
 0	 7	 3	221.750	0.274
 0	 7	 4	220.866	0.353
 0	 7	 5	219.769	0.250
 0	 7	 6	218.830	0.282
 0	 7	 7	217.811	0.313
 1	 0	 0	213.208	0.322
 1	 0	 1	212.108	0.446
 1	 0	 2	211.033	0.354
 1	 0	 3	209.993	0.378
 1	 0	 4	209.109	0.404
 1	 0	 5	207.975	0.376
 1	 0	 6	206.955	0.413
 1	 0	 7	205.984	0.430
 1	 1	 0	213.188	0.337
 1	 1	 1	212.068	0.327
 1	 1	 2	211.103	0.328
 1	 1	 3	210.014	0.319
 1	 1	 4	209.078	0.371
 1	 1	 5	207.912	0.333
 1	 1	 6	206.927	0.301
 1	 1	 7	205.871	0.412
 1	 2	 0	213.177	0.286
 1	 2	 1	212.060	0.324
 1	 2	 2	211.162	0.272
