ch	pt	CAL_V	mean	std	median	outliers	mean_w/o_out	std_w/o_out	samples
 0	 0	   10	 153.89	 1.550	154.0	  0	 153.89	 1.550	 100
 0	 0	   20	 165.96	 1.786	166.0	  0	 165.96	 1.786	 100
 0	 0	   30	 179.47	 1.904	180.0	  2	 179.56	 1.811	 100
 0	 0	   40	 192.96	 1.880	193.0	  1	 193.02	 1.790	 100
 0	 0	   50	 205.67	 1.804	205.0	  0	 205.67	 1.804	 100
 0	 0	   60	 218.97	 1.936	219.0	  4	 218.86	 1.683	 100
 0	 0	   70	 232.26	 1.618	232.0	  1	 232.21	 1.554	 100
 0	 0	   80	 245.62	 1.927	245.0	  4	 245.53	 1.679	 100
 0	 0	   90	 258.28	 1.718	258.0	  0	 258.28	 1.718	 100
 0	 0	  100	 270.62	 1.973	270.0	  2	 270.63	 1.858	 100
 0	 0	  200	 378.89	 2.651	379.0	  7	 379.17	 1.755	 100
 0	 0	  300	 466.93	 2.166	467.0	  4	 467.08	 1.787	 100
 0	 0	  400	 538.72	 2.080	539.0	  5	 539.02	 1.637	 100
 0	 0	  500	 598.11	 1.989	598.0	  3	 598.06	 1.755	 100
 0	 0	  600	 648.82	 1.726	649.0	  0	 648.82	 1.726	 100
 0	 0	  700	 690.41	 2.016	690.0	  1	 690.46	 1.950	 100
 0	 0	  800	 726.09	 1.955	726.0	  1	 726.17	 1.785	 100
 0	 0	  900	 757.60	 1.787	757.0	  1	 757.56	 1.739	 100
 0	 0	 1000	 785.44	 1.743	786.0	  2	 785.53	 1.638	 100
 0	 0	 1200	 831.28	 1.980	831.0	  3	 831.27	 1.693	 100
 0	 0	 1400	 869.55	 1.951	869.0	  3	 869.52	 1.786	 100
 0	 0	 1600	 903.33	 1.995	903.0	  1	 903.28	 1.949	 100
 0	 0	 1800	 931.31	 1.768	931.0	  2	 931.32	 1.564	 100
 0	 0	 2000	 956.21	 1.794	956.0	  2	 956.21	 1.664	 100
 0	 0	 4000	1116.94	 3.197	1118.0	 14	1117.83	 1.995	 100
 0	 0	 6000	1212.78	 2.596	1213.0	  1	1212.88	 2.413	 100
 0	 0	 8000	1283.94	 2.498	1284.0	  0	1283.94	 2.498	 100
 0	 0	10000	1343.33	 2.719	1344.0	  1	1343.43	 2.524	 100
 0	 0	12000	1393.77	 2.677	1394.0	  0	1393.77	 2.677	 100
 0	 0	14000	1439.49	 2.447	1439.5	  0	1439.49	 2.447	 100
 0	 0	16000	1480.41	 2.731	1481.0	  0	1480.41	 2.731	 100
 0	 0	18000	1518.87	 2.411	1518.5	  0	1518.87	 2.411	 100
 0	 0	20000	1555.14	 2.454	1555.0	  0	1555.14	 2.454	 100
 0	 0	22000	1589.39	 2.453	1589.0	  7	1589.23	 2.006	 100
 0	 0	24000	1621.29	 2.380	1621.0	  6	1621.07	 2.065	 100
 0	 0	26000	1652.61	 2.054	1653.0	  2	1652.72	 1.909	 100
 0	 0	28000	1682.36	 2.642	1682.0	  0	1682.36	 2.642	 100
 0	 0	30000	1711.04	 2.365	1711.0	  1	1711.13	 2.193	 100
 0	 0	32000	1737.97	 2.584	1738.0	 11	1738.40	 1.923	 100
 0	 0	34000	1764.67	 2.531	1765.0	  0	1764.67	 2.531	 100
 0	 0	36000	1789.27	 2.386	1789.0	  0	1789.27	 2.386	 100
 0	 0	38000	1813.82	 2.081	1814.0	  2	1813.92	 1.983	 100
 0	 0	40000	1837.67	 2.005	1838.0	  0	1837.67	 2.005	 100
 0	 0	42000	1859.23	 2.074	1859.0	  0	1859.23	 2.074	 100
 0	 0	44000	1880.09	 1.837	1880.0	  3	1880.14	 1.639	 100
 0	 0	46000	1899.05	 1.684	1899.0	  1	1899.00	 1.616	 100
 0	 0	48000	1916.28	 1.544	1916.0	  0	1916.28	 1.544	 100
 0	 0	50000	1934.36	 1.624	1934.0	  0	1934.36	 1.624	 100
 0	 0	52000	1950.68	 1.746	1951.0	  0	1950.68	 1.746	 100
 0	 0	54000	1965.19	 1.368	1965.0	  0	1965.19	 1.368	 100
 0	 0	56000	1978.00	 1.255	1978.0	  0	1978.00	 1.255	 100
 0	 0	58000	1988.51	 1.185	1989.0	  0	1988.51	 1.185	 100
 0	 0	60000	1998.00	 1.064	1998.0	  0	1998.00	 1.064	 100
 0	 0	62000	2005.22	 0.719	2005.0	 44	2005.00	 0.000	 100
 0	 0	64000	2010.88	 0.671	2011.0	 43	2011.00	 0.000	 100
 0	 1	   10	 170.50	 7.171	169.0	  0	 170.50	 7.171	 100
 0	 1	   20	 163.86	 1.443	164.0	  0	 163.86	 1.443	 100
 0	 1	   30	 174.81	 1.522	175.0	  0	 174.81	 1.522	 100
 0	 1	   40	 186.52	 1.494	186.0	  0	 186.52	 1.494	 100
 0	 1	   50	 197.50	 1.322	197.0	  0	 197.50	 1.322	 100
 0	 1	   60	 209.22	 1.440	209.0	  0	 209.22	 1.440	 100
 0	 1	   70	 220.11	 1.614	220.0	  2	 220.11	 1.464	 100
 0	 1	   80	 231.67	 1.694	232.0	  0	 231.67	 1.694	 100
