ch	pt	tc	mean	std	median	outliers	mean_w/o_out	std_w/o_out	samples
 0	 0	  0	 130.48	 1.382	130.0	  0	 130.48	 1.382	 100
 0	 0	  1	 141.71	 1.742	141.0	  3	 141.58	 1.593	 100
 0	 0	  2	 192.76	 1.913	193.0	  1	 192.71	 1.848	 100
 0	 0	  3	 289.54	 2.231	290.0	  0	 289.54	 2.231	 100
 0	 0	  4	 389.18	 2.190	389.0	  5	 389.14	 1.871	 100
 0	 0	  5	 476.80	 1.859	477.0	  3	 476.86	 1.639	 100
 0	 0	  6	 551.95	 2.096	552.0	  4	 552.05	 1.877	 100
 0	 0	  7	 612.43	 2.031	612.0	  3	 612.28	 1.864	 100
 0	 0	  8	 662.21	 1.766	662.0	  0	 662.21	 1.766	 100
 0	 0	  9	 703.35	 1.904	703.0	  2	 703.24	 1.771	 100
 0	 0	 10	 734.47	 1.800	734.0	  2	 734.38	 1.696	 100
 0	 0	 11	 757.40	 1.826	757.0	  1	 757.33	 1.708	 100
 0	 0	 12	 772.68	 1.927	773.0	  2	 772.68	 1.780	 100
 0	 0	 13	 781.03	 2.096	781.0	  0	 781.03	 2.096	 100
 0	 0	 14	 783.33	 1.928	783.0	  4	 783.13	 1.675	 100
 0	 0	 15	 779.82	 1.866	780.0	  3	 779.89	 1.613	 100
 0	 0	 16	 772.66	 1.677	773.0	  1	 772.74	 1.495	 100
 0	 0	 17	 759.71	 1.908	760.0	  2	 759.70	 1.789	 100
 0	 0	 18	 743.65	 1.817	744.0	  1	 743.70	 1.764	 100
 0	 0	 19	 727.10	 2.018	727.0	  4	 726.98	 1.723	 100
 0	 0	 20	 708.17	 1.809	708.0	  2	 708.07	 1.688	 100
 0	 0	 21	 687.22	 1.779	687.0	  1	 687.17	 1.720	 100
 0	 0	 22	 665.37	 1.921	666.0	  2	 665.35	 1.765	 100
 0	 0	 23	 642.64	 1.962	643.0	  4	 642.85	 1.686	 100
 0	 0	 24	 617.87	 1.813	618.0	  1	 617.82	 1.746	 100
 0	 0	 25	 593.65	 1.654	594.0	  1	 593.70	 1.594	 100
 0	 0	 26	 569.52	 1.660	570.0	  0	 569.52	 1.660	 100
 0	 0	 27	 545.17	 1.627	545.0	  1	 545.12	 1.560	 100
 0	 0	 28	 520.83	 1.640	521.0	  0	 520.83	 1.640	 100
 0	 0	 29	 496.97	 1.630	497.0	  0	 496.97	 1.630	 100
 0	 0	 30	 473.72	 1.640	474.0	  0	 473.72	 1.640	 100
 0	 0	 31	 451.55	 1.438	452.0	  0	 451.55	 1.438	 100
 0	 0	 32	 429.64	 1.389	430.0	  0	 429.64	 1.389	 100
 0	 0	 33	 408.91	 1.640	409.0	  0	 408.91	 1.640	 100
 0	 0	 34	 389.54	 1.396	389.5	 14	 389.62	 0.935	 100
 0	 0	 35	 370.45	 1.520	370.0	  0	 370.45	 1.520	 100
 0	 0	 36	 352.69	 1.454	353.0	  0	 352.69	 1.454	 100
 0	 0	 37	 336.62	 1.600	337.0	  1	 336.67	 1.539	 100
 0	 0	 38	 321.40	 1.263	322.0	  0	 321.40	 1.263	 100
 0	 0	 39	 307.03	 1.466	307.0	  0	 307.03	 1.466	 100
 0	 0	 40	 293.22	 1.307	293.0	  0	 293.22	 1.307	 100
 0	 0	 41	 281.26	 1.260	281.0	  0	 281.26	 1.260	 100
 0	 0	 42	 269.50	 1.605	269.0	  1	 269.45	 1.547	 100
 0	 0	 43	 259.45	 1.329	260.0	  0	 259.45	 1.329	 100
 0	 0	 44	 249.12	 1.208	249.0	  0	 249.12	 1.208	 100
 0	 0	 45	 239.79	 1.320	240.0	  0	 239.79	 1.320	 100
 0	 0	 46	 231.18	 1.321	231.0	  0	 231.18	 1.321	 100
 0	 0	 47	 223.15	 1.403	223.0	  0	 223.15	 1.403	 100
 0	 0	 48	 215.50	 1.439	215.0	  0	 215.50	 1.439	 100
 0	 0	 49	 209.02	 1.063	209.0	  1	 209.07	 0.940	 100
 0	 0	 50	 202.72	 1.386	203.0	  1	 202.67	 1.286	 100
 0	 0	 51	 197.06	 1.293	197.0	  0	 197.06	 1.293	 100
 0	 0	 52	 192.31	 1.161	192.0	  0	 192.31	 1.161	 100
 0	 0	 53	 187.38	 1.376	187.0	  0	 187.38	 1.376	 100
 0	 0	 54	 182.47	 1.367	182.0	  0	 182.47	 1.367	 100
 0	 0	 55	 178.55	 1.114	178.0	  0	 178.55	 1.114	 100
 0	 0	 56	 174.78	 1.227	174.5	 12	 174.59	 0.967	 100
