INDEX
ENC_l_m: ENC obtained with pedestal rms and linear gain fit with mean values
ENC_l_mwo: ENC obtained with pedestal rms and linear gain fit with mean values without outliers
ENC_3_m: ENC obtained with pedestal rms and cubic gain fit with mean values
ENC_3_mwo: ENC obtained with pedestal rms and cubic gain fit with mean values without outliers
-----------------------------------------------------------------
ch	pt	ENC_l_m	ENC_l_mwo	ENC_3_m	ENC_3_mwo
 0	 0	12.334	10.879	10.804	9.556
 0	 1	7.536	6.898	6.794	6.262
 0	 2	9.256	8.691	8.432	7.915
 0	 3	9.738	9.568	8.987	8.834
 0	 4	10.366	10.208	9.660	9.486
 0	 5	12.794	12.314	11.952	11.479
 0	 6	9.098	8.989	8.537	8.426
 0	 7	8.615	8.341	7.946	7.690
 1	 0	11.054	9.673	9.149	8.010
 1	 1	10.766	9.820	9.347	8.531
 1	 2	9.182	8.773	7.994	7.635
 1	 3	9.653	9.507	8.421	8.292
 1	 4	9.301	9.190	8.367	8.266
 1	 5	9.758	9.436	8.649	8.387
 1	 6	10.161	9.830	9.020	8.733
 1	 7	11.293	11.036	10.024	9.797
 2	 0	8.404	7.310	6.752	5.898
 2	 1	7.197	6.816	6.109	5.792
 2	 2	10.500	9.998	8.819	8.404
 2	 3	9.874	9.741	8.366	8.249
 2	 4	9.889	9.836	8.344	8.262
 2	 5	9.563	9.331	8.069	7.882
 2	 6	10.011	9.712	8.511	8.259
 2	 7	9.886	9.603	8.498	8.252
 3	 0	7.556	6.736	6.342	5.658
 3	 1	6.159	5.675	5.502	5.079
 3	 2	5.499	5.128	4.934	4.599
 3	 3	7.375	7.246	6.560	6.403
 3	 4	8.244	8.134	7.499	7.376
 3	 5	9.314	9.033	8.489	8.247
 3	 6	6.607	6.492	6.084	5.992
 3	 7	7.274	7.094	6.701	6.550
 4	 0	8.428	7.726	6.673	6.070
 4	 1	6.878	6.277	5.822	5.332
 4	 2	7.631	7.316	6.408	6.130
 4	 3	8.535	8.342	7.252	7.082
 4	 4	8.013	7.849	6.864	6.727
 4	 5	11.720	11.345	10.204	9.882
 4	 6	9.530	9.395	8.153	8.034
 4	 7	9.959	9.643	8.737	8.470
 5	 0	7.289	6.611	5.912	5.354
 5	 1	6.740	6.219	5.808	5.371
 5	 2	7.341	6.886	6.284	5.893
 5	 3	7.728	7.637	6.781	6.694
 5	 4	7.801	7.801	6.750	6.753
 5	 5	9.431	9.151	8.152	7.917
 5	 6	7.975	7.808	6.930	6.797
 5	 7	9.718	9.541	8.589	8.430
 6	 0	6.297	5.777	5.145	4.715
 6	 1	5.969	5.792	5.178	5.006
 6	 2	7.685	7.389	6.592	6.354
 6	 3	8.777	8.658	7.474	7.366
 6	 4	9.814	9.724	8.438	8.365
 6	 5	11.385	11.051	9.976	9.656
 6	 6	9.663	9.475	8.356	8.199
 6	 7	12.079	11.975	10.450	10.277
 7	 0	5.317	5.043	4.298	4.054
 7	 1	4.946	4.777	4.190	4.049
 7	 2	5.179	5.082	4.410	4.324
 7	 3	6.137	6.111	5.280	5.248
 7	 4	6.482	6.375	5.538	5.450
 7	 5	7.989	7.681	6.998	6.767
 7	 6	8.908	8.726	7.738	7.609
 7	 7	8.114	7.852	7.144	6.916
 8	 0	5.179	5.085	4.159	4.092
 8	 1	5.199	5.011	4.403	4.261
 8	 2	5.376	5.304	4.513	4.444
 8	 3	5.851	5.860	4.984	4.982
 8	 4	6.317	6.226	5.381	5.295
 8	 5	6.527	6.470	5.644	5.608
 8	 6	6.774	6.616	5.775	5.650
 8	 7	7.427	7.182	6.339	6.152
 9	 0	5.415	5.115	4.472	4.213
 9	 1	6.234	6.070	5.201	5.067
 9	 2	6.501	6.305	5.530	5.394
 9	 3	6.819	6.745	5.895	5.824
 9	 4	6.993	6.880	5.882	5.778
 9	 5	6.688	6.499	5.757	5.598
 9	 6	6.061	5.835	5.216	5.014
 9	 7	6.223	6.116	5.402	5.324
10	 0	6.250	5.738	5.234	4.822
10	 1	6.470	6.106	5.702	5.370
10	 2	6.814	6.386	5.835	5.475
10	 3	6.791	6.692	5.936	5.854
10	 4	8.099	7.946	7.004	6.867
10	 5	7.359	7.324	6.568	6.561
10	 6	7.583	7.246	6.677	6.336
10	 7	7.360	7.288	6.428	6.340
11	 0	7.392	6.594	5.955	5.336
11	 1	6.773	6.218	5.924	5.483
11	 2	7.142	6.978	6.328	6.185
11	 3	6.267	6.121	5.593	5.435
11	 4	7.456	7.305	6.551	6.432
11	 5	6.130	5.814	5.556	5.274
11	 6	7.172	7.058	6.629	6.540
11	 7	6.866	6.680	6.276	6.094
12	 0	8.045	7.359	6.615	6.066
12	 1	7.743	7.255	6.657	6.239
12	 2	7.434	7.056	6.201	5.878
12	 3	7.987	7.856	6.807	6.715
12	 4	7.270	7.000	6.127	5.907
12	 5	7.056	6.933	6.085	5.989
12	 6	7.248	7.001	6.112	5.900
12	 7	6.779	6.619	5.753	5.614
13	 0	8.479	7.601	7.087	6.384
13	 1	7.340	6.798	6.322	5.862
13	 2	8.177	7.783	7.037	6.680
13	 3	7.312	7.180	6.382	6.265
13	 4	7.521	7.261	6.575	6.358
13	 5	6.485	6.332	5.831	5.705
13	 6	6.953	6.657	6.197	5.966
13	 7	7.034	6.952	6.320	6.244
14	 0	11.720	10.348	9.531	8.416
14	 1	11.391	10.568	9.743	9.034
14	 2	10.551	9.842	9.141	8.554
14	 3	9.331	9.082	8.185	7.983
14	 4	9.257	8.942	8.028	7.768
14	 5	7.854	7.745	6.854	6.744
14	 6	8.015	7.740	6.946	6.735
14	 7	7.826	7.697	6.748	6.648
15	 0	12.651	11.141	10.340	9.092
15	 1	9.987	9.035	8.460	7.626
15	 2	9.414	9.004	7.988	7.678
15	 3	7.805	7.654	6.802	6.675
15	 4	8.910	8.725	7.601	7.438
15	 5	8.444	8.171	7.354	7.115
15	 6	8.505	8.419	7.427	7.356
15	 7	8.038	7.672	7.028	6.737
16	 0	11.249	9.968	9.229	8.190
16	 1	6.948	6.379	5.946	5.471
16	 2	6.163	5.884	5.337	5.091
16	 3	5.915	5.804	5.042	4.934
16	 4	6.020	5.870	5.142	5.013
16	 5	6.286	6.166	5.479	5.370
16	 6	6.685	6.515	5.832	5.679
16	 7	6.284	6.235	5.434	5.383
17	 0	10.707	9.528	8.907	7.978
17	 1	7.970	7.503	6.849	6.454
17	 2	6.528	6.339	5.600	5.448
17	 3	6.803	6.734	5.952	5.898
17	 4	6.177	6.032	5.457	5.317
17	 5	5.790	5.638	5.086	4.949
17	 6	6.843	6.804	5.998	5.964
17	 7	7.321	7.150	6.461	6.296
18	 0	8.668	7.707	7.086	6.293
18	 1	6.418	5.827	5.613	5.079
18	 2	6.402	6.200	5.469	5.299
18	 3	5.698	5.557	5.039	4.924
18	 4	6.488	6.423	5.623	5.551
18	 5	5.463	5.294	4.799	4.651
18	 6	6.398	6.215	5.656	5.518
18	 7	7.474	7.253	6.594	6.397
19	 0	7.263	6.544	5.919	5.328
19	 1	6.549	6.153	5.623	5.267
19	 2	5.982	5.795	5.270	5.119
19	 3	6.372	6.243	5.708	5.600
19	 4	6.653	6.619	5.943	5.918
19	 5	6.628	6.524	5.980	5.883
19	 6	6.952	6.752	6.324	6.145
19	 7	6.238	6.157	5.733	5.662
20	 0	5.813	5.329	4.747	4.324
20	 1	5.425	5.216	4.639	4.469
20	 2	5.207	5.036	4.423	4.259
20	 3	5.805	5.701	5.001	4.927
20	 4	5.330	5.328	4.605	4.604
20	 5	5.975	5.863	5.058	4.970
20	 6	5.801	5.739	5.021	4.935
20	 7	5.676	5.537	4.998	4.882
21	 0	7.004	6.449	5.663	5.225
21	 1	5.355	5.041	4.499	4.223
21	 2	5.562	5.280	4.757	4.513
21	 3	5.724	5.631	4.822	4.748
21	 4	6.273	6.197	5.365	5.320
21	 5	6.068	5.875	5.209	5.069
21	 6	6.728	6.700	5.768	5.741
21	 7	6.866	6.735	5.895	5.787
22	 0	5.561	5.022	4.556	4.110
22	 1	5.101	4.857	4.464	4.253
22	 2	4.982	4.806	4.278	4.104
22	 3	5.535	5.441	4.750	4.669
22	 4	5.640	5.613	4.881	4.852
22	 5	5.561	5.398	4.888	4.746
22	 6	6.416	6.223	5.633	5.474
22	 7	5.992	5.876	5.285	5.191
23	 0	5.090	4.774	4.226	3.967
23	 1	4.617	4.498	3.932	3.838
23	 2	4.856	4.691	4.203	4.070
23	 3	4.992	4.986	4.182	4.192
23	 4	5.580	5.497	4.735	4.660
23	 5	5.418	5.384	4.716	4.672
23	 6	5.783	5.669	5.069	4.970
23	 7	6.125	5.929	5.413	5.251
24	 0	5.391	5.235	4.191	4.059
24	 1	5.149	5.004	4.365	4.254
24	 2	5.352	5.263	4.518	4.440
24	 3	6.376	6.361	5.503	5.449
24	 4	5.359	5.326	4.632	4.571
24	 5	6.406	6.303	5.551	5.478
24	 6	6.896	6.847	6.022	5.984
24	 7	6.869	6.744	6.046	5.939
25	 0	6.350	6.024	5.026	4.770
25	 1	5.608	5.451	4.702	4.564
25	 2	5.512	5.411	4.665	4.589
25	 3	6.219	6.087	5.295	5.204
25	 4	6.132	6.031	5.249	5.176
25	 5	6.616	6.498	5.641	5.524
25	 6	7.112	7.067	6.154	6.121
25	 7	7.468	7.308	6.501	6.389
26	 0	6.948	6.197	5.640	5.010
26	 1	5.719	5.446	4.873	4.646
26	 2	5.492	5.303	4.678	4.518
26	 3	6.384	6.313	5.491	5.430
26	 4	6.888	6.744	5.966	5.834
26	 5	6.558	6.393	5.842	5.700
26	 6	6.372	6.177	5.609	5.439
26	 7	7.199	7.052	6.267	6.160
27	 0	8.202	7.429	6.374	5.785
27	 1	6.465	6.014	5.654	5.272
27	 2	7.460	7.135	6.569	6.344
27	 3	7.435	7.215	6.338	6.152
27	 4	6.633	6.504	5.924	5.813
27	 5	6.872	6.775	5.950	5.864
27	 6	6.796	6.636	6.049	5.915
27	 7	6.855	6.744	6.226	6.133
28	 0	8.041	7.126	6.406	5.693
28	 1	6.520	6.118	5.583	5.233
28	 2	6.068	5.835	5.096	4.910
28	 3	6.688	6.687	5.737	5.684
28	 4	6.612	6.526	5.609	5.538
28	 5	6.685	6.563	5.779	5.679
28	 6	8.509	8.432	7.284	7.208
28	 7	7.369	7.321	6.259	6.192
29	 0	11.541	10.304	9.181	8.218
29	 1	7.765	7.272	6.561	6.140
29	 2	8.088	7.669	6.950	6.583
29	 3	8.319	8.084	7.326	7.126
29	 4	7.826	7.693	6.850	6.724
29	 5	6.702	6.502	5.982	5.810
29	 6	7.676	7.485	6.989	6.819
29	 7	6.634	6.490	5.905	5.765
30	 0	11.114	9.644	9.257	8.041
30	 1	7.683	6.971	6.740	6.125
30	 2	7.229	6.900	6.383	6.083
30	 3	7.785	7.659	6.872	6.772
30	 4	8.650	8.505	7.683	7.554
30	 5	7.445	7.235	6.574	6.395
30	 6	7.514	7.330	6.661	6.494
30	 7	8.340	8.031	7.412	7.159
31	 0	11.110	9.844	9.168	8.114
31	 1	8.308	7.526	7.046	6.399
31	 2	8.924	8.623	7.521	7.228
31	 3	7.867	7.744	6.706	6.619
31	 4	8.388	8.344	7.375	7.333
31	 5	7.652	7.448	6.692	6.522
31	 6	8.308	8.103	7.412	7.242
31	 7	8.764	8.662	7.910	7.768
